P_ID,P_ID2,Valve Size,Co-efficients,10,20,30,40,50,60,70,80,90,100
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.25,1,Cv,0.088,0.124,0.175,0.236,0.327,0.464,0.641,0.881,1.22,1.52
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.25,1,FL,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.25,1,Xt,0.771,0.717,0.658,0.645,0.62,0.585,0.596,0.596,0.603,0.647
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.25,1,Fd,0.1,0.12,0.15,0.18,0.22,0.26,0.32,0.4,0.54,0.72
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.375,1,Cv,0.129,0.199,0.308,0.448,0.62,0.882,1.29,1.8,2.43,3.07
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.375,1,FL,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.375,1,Xt,0.747,0.663,0.641,0.593,0.569,0.568,0.56,0.571,0.624,0.662
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.375,1,Fd,0.11,0.12,0.15,0.18,0.21,0.26,0.32,0.4,0.52,0.7
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.5,1,Cv,0.189,0.319,0.492,0.735,1.08,1.53,2.12,2.99,4.17,4.91
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.5,1,FL,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.5,1,Xt,0.728,0.639,0.628,0.591,0.573,0.585,0.6,0.618,0.645,0.803
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.5,1,Fd,0.1,0.12,0.15,0.17,0.21,0.25,0.31,0.39,0.49,0.59
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.75,1,Cv,0.374,0.622,0.965,1.47,2.17,3.15,4.57,6.52,8.17,8.84
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.75,1,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.75,1,Xt,0.687,0.614,0.588,0.56,0.571,0.596,0.603,0.624,0.75,0.919
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#0.75,1,Fd,0.09,0.1,0.13,0.16,0.19,0.24,0.29,0.38,0.47,0.53
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#1,1,Cv,0.79,1.25,1.8,2.53,3.63,5.28,7.59,10.7,12.7,13.2
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1#0.75#1,1,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
