AC Size,Seat Bore,Smin,Smax,Spring Rate,Fail Action,SF Min ,SF Max,NAT Max,NAT Min
38,0.75,3,15,608,AFO,114,570,2166,1710
38,0.75,6,18,608,AFC,228,684,2052,1596
38,0.75,6,30,1216,AFO,228,1140,2052,1140
38,0.75,8,32,1216,AFC,304,1216,1976,1064
38,0.75,12,24,608,AFC,456,912,1824,1368
75,0.75,3,15,1200,AFO,225,1125,4275,3375
75,0.75,6,18,1200,AFC,450,1350,4050,3150
75,0.75,6,30,2400,AFO,450,2250,4050,2250
75,0.75,8,32,2400,AFC,600,2400,3900,2100
75,0.75,16,32,1600,AFC,1200,2400,3300,2100
150,0.75,3,15,2400,AFO,450,2250,8550,6750
150,0.75,6,18,2400,AFC,900,2700,8100,6300
150,0.75,6,30,4800,AFO,900,4500,8100,4500
150,0.75,8,32,4800,AFC,1200,4800,7800,4200
150,0.75,12,24,2400,AFC,1800,3600,7200,5400
38,1.125,3,15,405,AFO,114,570,2166,1710
38,1.125,6,18,405,AFC,228,684,2052,1596
38,1.125,6,30,811,AFO,228,1140,2052,1140
38,1.125,8,32,811,AFC,304,1216,1976,1064
38,1.125,12,30,608,AFC,456,1140,1824,1140
75,1.125,3,15,800,AFO,225,1125,4275,3375
75,1.125,6,18,800,AFC,450,1350,4050,3150
75,1.125,6,30,1600,AFO,450,2250,4050,2250
75,1.125,8,32,1600,AFC,600,2400,3900,2100
75,1.125,16,32,1067,AFC,1200,2400,3300,2100
150,1.125,3,15,1600,AFO,450,2250,8550,6750
150,1.125,6,18,1600,AFC,900,2700,8100,6300
150,1.125,6,30,3200,AFO,900,4500,8100,4500
150,1.125,8,32,3200,AFC,1200,4800,7800,4200
150,1.125,14,32,2400,AFC,2100,4800,6900,4200
75,1.5,3,15,600,AFO,225,1125,4275,3375
75,1.5,6,18,600,AFC,450,1350,4050,3150
75,1.5,6,30,1200,AFO,450,2250,4050,2250
75,1.5,8,32,1200,AFC,600,2400,3900,2100
75,1.5,16,32,800,AFC,1200,2400,3300,2100
150,1.5,3,15,1200,AFO,450,2250,8550,6750
150,1.5,6,18,1200,AFC,900,2700,8100,6300
150,1.5,6,30,2400,AFO,900,4500,8100,4500
150,1.5,8,32,2400,AFC,1200,4800,7800,4200
150,1.5,16,32,1600,AFC,2400,4800,6600,4200
300,1.5,6,18,2400,AFC,1800,5400,13200,9600
300,1.5,8,32,4800,AFC,2400,9600,12600,5400
300,1.5,16,32,3200,AFC,4800,9600,10200,5400
300,1.5,3,15,2400,AFO,900,4500,14100,10500
300,1.5,6,30,4800,AFO,1800,9000,13200,6000
300,1.5,20,40,4000,AFC,6000,12000,9000,3000
150,2.25,3,15,800,AFO,450,2250,8550,6750
150,2.25,6,30,1600,AFO,900,4500,8100,4500
150,2.25,6,18,800,AFC,900,2700,8100,6300
150,2.25,8,32,1600,AFC,1200,4800,7800,4200
150,2.25,16,32,1067,AFC,2400,4800,6600,4200
300,2.25,6,18,1600,AFC,1800,5400,13200,9600
300,2.25,3,15,1600,AFO,900,4500,14100,10500
300,2.25,8,32,3200,AFC,2400,9600,12600,5400
300,2.25,6,30,3200,AFO,1800,9000,13200,6000
300,2.25,16,32,2133,AFC,4800,9600,10200,5400
300,2.25,27,40,1733,AFC,8100,12000,6900,3000
300,2.5,6,18,1440,AFC,1800,5400,13200,9600
300,2.5,3,15,1440,AFO,900,4500,14100,10500
300,2.5,8,32,2880,AFC,2400,9600,12600,5400
300,2.5,6,30,2880,AFO,1800,9000,13200,6000
300,2.5,16,32,1920,AFC,4800,9600,10200,5400
150,3.5,3,15,514,AFO,450,2250,8550,6750
150,3.5,6,18,514,AFC,900,2700,8100,6300
300,3.5,3,15,1029,AFO,900,4500,14100,10500
300,3.5,6,18,1029,AFC,1800,5400,13200,9600
300,3.5,6,30,2057,AFO,1800,9000,13200,6000
300,3.5,8,32,2057,AFC,2400,9600,12600,5400
300,3.5,11,32,1800,AFC,3300,9600,11700,5400
300,3.5,20,40,1714,AFC,6000,12000,9000,3000
300,4,3,15,900,AFO,900,4500,14100,10500
300,4,6,18,900,AFC,1800,5400,13200,9600
300,4,6,30,1800,AFO,1800,9000,13200,6000
300,4,8,32,1800,AFC,2400,9600,12600,5400
300,4,11,32,1575,AFC,3300,9600,11700,5400
300,4,20,40,1500,AFC,6000,12000,9000,3000
