Company Name,Fail Action,Stem Dia,Yoke Boss,Actuator Size,Effective Area,Travel,Min,Max,Spring rate
multispring,AFO,0.5,2.8125,6,60,0.8,3,15,900
multispring,AFO,0.5,2.8125,6,60,0.8,6,30,1800
multispring,AFO,0.5,2.8125,6,60,0.8,11,23,900
multispring,AFO,0.5,2.8125,6,60,0.8,21,45,1800
multispring,AFO,0.5,2.8125,10,100,0.8,3,15,1500
multispring,AFO,0.5,2.8125,10,100,0.8,6,30,3000
multispring,AFO,0.5,2.8125,10,100,0.8,11,23,1500
multispring,AFO,0.5,2.8125,10,100,0.8,21,45,3000
multispring,AFO,0.5,2.8125,10,100,1.5,3,15,800
multispring,AFO,0.5,2.8125,10,100,1.5,6,30,1600
multispring,AFO,0.5,2.8125,10,100,1.5,11,23,800
multispring,AFO,0.5,2.8125,10,100,1.5,21,45,1600
multispring,AFO,0.75,3.5625,16,160,0.8,3,15,2400
multispring,AFO,0.75,3.5625,16,160,0.8,6,30,4800
multispring,AFO,0.75,3.5625,16,160,0.8,11,23,2400
multispring,AFO,0.75,3.5625,16,160,0.8,21,45,4800
multispring,AFO,0.75,3.5625,16,160,1.5,3,15,1280
multispring,AFO,0.75,3.5625,16,160,1.5,6,30,2560
multispring,AFO,0.75,3.5625,16,160,1.5,11,23,1280
multispring,AFO,0.75,3.5625,16,160,1.5,21,45,2560
multispring,AFO,0.75,3.5625,16,160,2,3,15,960
multispring,AFO,0.75,3.5625,16,160,2,6,30,1920
multispring,AFO,0.75,3.5625,16,160,2,11,23,960
multispring,AFO,0.75,3.5625,16,160,2,21,45,1920
multispring,AFO,0.75,3.5625,16,160,2.5,3,15,768
multispring,AFO,0.75,3.5625,16,160,2.5,6,30,1536
multispring,AFO,0.75,3.5625,16,160,2.5,11,23,768
multispring,AFO,0.75,3.5625,16,160,2.5,21,45,1536
multispring,AFO,0.75,3.5625,23,230,0.8,3,15,3450
multispring,AFO,0.75,3.5625,23,230,0.8,6,30,6900
multispring,AFO,0.75,3.5625,23,230,0.8,11,23,3450
multispring,AFO,0.75,3.5625,23,230,0.8,21,45,6900
multispring,AFO,0.75,3.5625,23,230,1.5,3,15,1840
multispring,AFO,0.75,3.5625,23,230,1.5,6,30,3680
multispring,AFO,0.75,3.5625,23,230,1.5,11,23,1840
multispring,AFO,0.75,3.5625,23,230,1.5,21,45,3680
multispring,AFO,0.75,3.5625,23,230,2,3,15,1380
multispring,AFO,0.75,3.5625,23,230,2,6,30,2760
multispring,AFO,0.75,3.5625,23,230,2,11,23,1380
multispring,AFO,0.75,3.5625,23,230,2,21,45,2760
multispring,AFO,0.75,3.5625,23,230,2.5,3,15,1104
multispring,AFO,0.75,3.5625,23,230,2.5,6,30,2208
multispring,AFO,0.75,3.5625,23,230,2.5,11,23,1104
multispring,AFO,0.75,3.5625,23,230,2.5,21,45,2208
multispring,AFO,0.75,3.5625,23L,230,3,6,24,1380
multispring,AFO,0.75,3.5625,23L,230,3.5,6,27,1380
multispring,AFO,0.75,3.5625,23L,230,4,3,15,690
multispring,AFO,0.75,3.5625,23L,230,4,6,30,1380
multispring,AFO,0.75,3.5625,23L,230,4,11,23,690
multispring,AFO,0.75,3.5625,23L,230,4,23,45,1265
multispring,AFC,0.5,2.8125,6,60,0.8,3,15,900
multispring,AFC,0.5,2.8125,6,60,0.8,6,30,1800
multispring,AFC,0.5,2.8125,6,60,0.8,11,23,900
multispring,AFC,0.5,2.8125,6,60,0.8,21,45,1800
multispring,AFC,0.5,2.8125,10,100,0.8,3,15,1500
multispring,AFC,0.5,2.8125,10,100,0.8,6,30,3000
multispring,AFC,0.5,2.8125,10,100,0.8,11,23,1500
multispring,AFC,0.5,2.8125,10,100,0.8,21,45,3000
