Actuator Type,Fail Action,Stem Dia,Yoke Boss dia,Actuator size,Effective Area,Travel,sMin,sMax,Spring Rate,V0,Vm,,,
sd,AFO,0.375,2.125,30,46,0.75,6,30,1470,33,72,,,
sd,AFO,0.375,2.125,30,46,0.75,6,26,1260,33,72,,,
sd,AFO,0.375,2.125,30,46,0.75,6,22,1000,33,72,,,
sd,AFO,0.375,2.125,30,46,0.75,6,20,830,33,72,,,
sd,AFO,0.375,2.125,30,46,0.75,6,18,735,33,72,,,
sd,AFO,0.375,2.125,30,46,0.75,6,16,612,33,72,,,
sd,AFO,0.375,2.125,30,46,0.75,6,14,490,33,72,,,
sd,AFO,0.375,2.125,34,69,0.75,6,30,2210,57,113,,,
sd,AFO,0.375,2.125,34,69,0.75,6,26,1840,57,113,,,
sd,AFO,0.375,2.125,34,69,0.75,6,22,1470,57,113,,,
sd,AFO,0.375,2.125,34,69,0.75,6,20,1327,57,113,,,
sd,AFO,0.375,2.125,34,69,0.75,6,19,1230,57,113,,,
sd,AFO,0.375,2.125,34,69,0.75,6,18,1100,57,113,,,
sd,AFO,0.375,2.125,34,69,0.75,6,16,924,57,113,,,
sd,AFO,0.375,2.125,34,69,0.75,6,11,736,57,113,,,
sd,AFO,0.375,2.125,34,69,1.125,6,30,1470,57,142,,,
sd,AFO,0.375,2.125,34,69,1.125,6,28,1327,57,142,,,
sd,AFO,0.375,2.125,34,69,1.125,6,26,1230,57,142,,,
sd,AFO,0.375,2.125,34,69,1.125,6,24,1100,57,142,,,
sd,AFO,0.375,2.125,34,69,1.125,6,22,924,57,142,,,
sd,AFO,0.375,2.125,34,69,1.125,6,18,736,57,142,,,
sd,AFO,0.5,2.825,40,69,0.75,6,30,2210,57,113,,,
sd,AFO,0.5,2.825,40,69,0.75,6,26,1840,57,113,,,
sd,AFO,0.5,2.825,40,69,0.75,6,22,1470,57,113,,,
sd,AFO,0.5,2.825,40,69,0.75,6,20,1327,57,113,,,
sd,AFO,0.5,2.825,40,69,0.75,6,19,1230,57,113,,,
sd,AFO,0.5,2.825,40,69,0.75,6,18,1100,57,113,,,
sd,AFO,0.5,2.825,40,69,0.75,6,16,920,57,113,,,
sd,AFO,0.5,2.825,40,69,0.75,6,14,736,57,113,,,
sd,AFO,0.5,2.825,40,69,1.125,6,30,1470,57,142,,,
sd,AFO,0.5,2.825,40,69,1.125,6,28,1327,57,142,,,
sd,AFO,0.5,2.825,40,69,1.125,6,26,1230,57,142,,,
sd,AFO,0.5,2.825,40,69,1.125,6,24,1100,57,142,,,
sd,AFO,0.5,2.825,40,69,1.125,6,22,920,57,142,,,
sd,AFO,0.5,2.825,40,69,1.125,6,18,736,57,142,,,
sd,AFO,0.5,2.825,40,69,1.125,6,15,550,57,142,,,
sd,AFO,0.5,2.825,40,69,1.125,6,30,1100,57,142,,,
sd,AFO,0.5,2.825,40,69,1.125,6,26,920,57,142,,,
sd,AFO,0.5,2.825,40,69,1.125,6,16,460,57,142,,,
sd,AFO,0.5,2.825,40,69,1.125,6,14,370,57,142,,,
sd,AFO,0.5,2.825,45,105,0.75,6,30,3320,95,183,,,
sd,AFO,0.5,2.825,45,105,0.75,6,26,2770,95,183,,,
sd,AFO,0.5,2.825,45,105,0.75,6,24,2500,95,183,,,
sd,AFO,0.5,2.825,45,105,0.75,6,22,2240,95,183,,,
sd,AFO,0.5,2.825,45,105,0.75,6,20,2080,95,183,,,
sd,AFO,0.5,2.825,45,105,0.75,6,19,1870,95,183,,,
sd,AFO,0.5,2.825,45,105,0.75,6,18,1670,95,183,,,
sd,AFO,0.5,2.825,45,105,0.75,6,17,1560,95,183,,,
