S.No.,Series,Model No.,Description
1,30,S38-1-00,Actuator Size- Fail Open-None
2,30,S38-1-10,Actuator Size- Fail Open- Top Mounted Handwheel
3,30,S38-1-20,Actuator Size- Fail Open- Side Mounted Handwheel
4,30,S38-1-30,"Actuator Size- Fail Open- Travel Stop, Up stop"
5,30,S38-1-40,"Actuator Size- Fail Open-Travel Stop, down stop"
6,30,S38-2-00,Actuator Size- Fail Close-None
7,30,S38-2-10,Actuator Size- Fail Close - Top Mounted Handwheel
8,30,S38-2-20,Actuator Size- Fail Close- Side Mounted Handwheel
9,30,S38-2-30,"Actuator Size- Fail Close- Travel Stop, Up stop"
10,30,S38-2-40,"Actuator Size- Fail Close-Travel Stop, down stop"
11,30,S75-1-00,Actuator Size- Fail Open-None
12,30,S75-1-10,Actuator Size- Fail Open- Top Mounted Handwheel
13,30,S75-1-20,Actuator Size- Fail Open- Side Mounted Handwheel
14,30,S75-1-30,"Actuator Size- Fail Open- Travel Stop, Up stop"
15,30,S75-1-40,"Actuator Size- Fail Open-Travel Stop, down stop"
16,30,S75-2-00,Actuator Size- Fail Close-None
17,30,S75-2-10,Actuator Size- Fail Close - Top Mounted Handwheel
18,30,S75-2-20,Actuator Size- Fail Close- Side Mounted Handwheel
19,30,S75-2-30,"Actuator Size- Fail Close- Travel Stop, Up stop"
20,30,S75-2-40,"Actuator Size- Fail Close-Travel Stop, down stop"
21,30,S150-1-00,Actuator Size- Fail Open-None
22,30,S150-1-10,Actuator Size- Fail Open- Top Mounted Handwheel
23,30,S150-1-20,Actuator Size- Fail Open- Side Mounted Handwheel
24,30,S150-1-30,"Actuator Size- Fail Open- Travel Stop, Up stop"
25,30,S150-1-40,"Actuator Size- Fail Open-Travel Stop, down stop"
26,30,S150-2-00,Actuator Size- Fail Close-None
27,30,S150-2-10,Actuator Size- Fail Close - Top Mounted Handwheel
28,30,S150-2-20,Actuator Size- Fail Close- Side Mounted Handwheel
