Valve Type,FCC Model ,Trim Type,Flow Char,Flow Dir,Unbal. / Bal.,Rating,Valve Size,Seat Bore ,Travel,Co-efficients,10,20,30,40,50,60,70,80,90,100,P_ID,P_ID2,
butterfly,20,do,mod_equal,down,N/A,150,3,3,90,Cv,3,8,12,46,67,103,135,158,165,165,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#3#90#3,#
butterfly,20,do,mod_equal,down,N/A,150,3,3,90,FL,0.7,0.81,0.73,0.76,0.75,0.66,0.6,0.5,0.54,0.54,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#3#90#3,
butterfly,20,do,mod_equal,down,N/A,150,3,3,90,Xt,0.449,0.455,0.395,0.417,0.423,0.313,0.256,0.188,0.203,0.203,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#3#90#3,
butterfly,20,do,mod_equal,down,N/A,150,3,3,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#3#90#3,
butterfly,20,do,mod_equal,down,N/A,150,4,4,90,Cv,5,30,45,70,95,150,210,270,300,300,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#4#90#4,
butterfly,20,do,mod_equal,down,N/A,150,4,4,90,FL,0.72,0.84,0.79,0.75,0.71,0.63,0.58,0.53,0.55,0.55,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#4#90#4,
butterfly,20,do,mod_equal,down,N/A,150,4,4,90,Xt,0.445,0.471,0.481,0.417,0.37,0.276,0.225,0.191,0.196,0.196,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#4#90#4,
butterfly,20,do,mod_equal,down,N/A,150,4,4,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#4#90#4,
butterfly,20,do,mod_equal,down,N/A,150,6,6,90,Cv,40,120,202,305,428,588,845,991,1009,1009,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#6#90#6,
butterfly,20,do,mod_equal,down,N/A,150,6,6,90,FL,0.83,0.83,0.8,0.78,0.76,0.69,0.59,0.52,0.54,0.54,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#6#90#6,
butterfly,20,do,mod_equal,down,N/A,150,6,6,90,Xt,0.444,0.608,0.574,0.485,0.441,0.316,0.227,0.176,0.182,0.182,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#6#90#6,
butterfly,20,do,mod_equal,down,N/A,150,6,6,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#6#90#6,
butterfly,20,do,mod_equal,down,N/A,150,8,8,90,Cv,86,216,339,505,708,969,1340,1504,1563,1563,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#8#90#8,
butterfly,20,do,mod_equal,down,N/A,150,8,8,90,FL,0.79,0.83,0.82,0.79,0.73,0.66,0.58,0.51,0.48,0.48,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#8#90#8,
butterfly,20,do,mod_equal,down,N/A,150,8,8,90,Xt,0.413,0.567,0.534,0.449,0.409,0.295,0.213,0.164,0.17,0.17,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#8#90#8,
butterfly,20,do,mod_equal,down,N/A,150,8,8,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#8#90#8,
butterfly,20,do,mod_equal,down,N/A,150,10,10,90,Cv,143,348,542,796,1167,1660,2464,2776,2915,2915,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#10#90#10,
butterfly,20,do,mod_equal,down,N/A,150,10,10,90,FL,0.79,0.83,0.82,0.79,0.73,0.66,0.58,0.51,0.48,0.48,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#10#90#10,
butterfly,20,do,mod_equal,down,N/A,150,10,10,90,Xt,0.542,0.745,0.673,0.59,0.489,0.38,0.245,0.189,0.156,0.156,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#10#90#10,
butterfly,20,do,mod_equal,down,N/A,150,10,10,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#10#90#10,
butterfly,20,do,mod_equal,down,N/A,150,12,12,90,Cv,207,468,738,1110,1596,2248,3518,4128,4308,4308,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#12#90#12,
butterfly,20,do,mod_equal,down,N/A,150,12,12,90,FL,0.78,0.87,0.85,0.8,0.75,0.69,0.55,0.51,0.47,0.47,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#12#90#12,
butterfly,20,do,mod_equal,down,N/A,150,12,12,90,Xt,0.491,0.671,0.61,0.535,0.443,0.343,0.222,0.171,0.141,0.141,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#12#90#12,
butterfly,20,do,mod_equal,down,N/A,150,12,12,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#12#90#12,
butterfly,20,do,mod_equal,down,N/A,150,14,14,90,Cv,215,519,860,1338,1980,2868,4392,5122,5659,5659,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#14#90#14,
butterfly,20,do,mod_equal,down,N/A,150,14,14,90,FL,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52,0.52,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#14#90#14,
butterfly,20,do,mod_equal,down,N/A,150,14,14,90,Xt,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23,0.23,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#14#90#14,
butterfly,20,do,mod_equal,down,N/A,150,14,14,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#14#90#14,
butterfly,20,do,mod_equal,down,N/A,150,16,16,90,Cv,309,699,1135,1773,2630,3771,6087,7371,7836,7836,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#16#90#16,
butterfly,20,do,mod_equal,down,N/A,150,16,16,90,FL,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52,0.52,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#16#90#16,
butterfly,20,do,mod_equal,down,N/A,150,16,16,90,Xt,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23,0.23,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#16#90#16,
butterfly,20,do,mod_equal,down,N/A,150,16,16,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#16#90#16,
butterfly,20,do,mod_equal,down,N/A,150,18,18,90,Cv,402,933,1580,2382,3720,4553,7604,9289,9860,9860,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#18#90#18,
butterfly,20,do,mod_equal,down,N/A,150,18,18,90,FL,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52,0.52,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#18#90#18,
butterfly,20,do,mod_equal,down,N/A,150,18,18,90,Xt,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23,0.23,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#18#90#18,
butterfly,20,do,mod_equal,down,N/A,150,18,18,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#18#90#18,
butterfly,20,do,mod_equal,down,N/A,150,20,20,90,Cv,492,1118,1766,2705,4037,5893,9854,12302,13066,13066,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#20#90#20,
butterfly,20,do,mod_equal,down,N/A,150,20,20,90,FL,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52,0.52,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#20#90#20,
butterfly,20,do,mod_equal,down,N/A,150,20,20,90,Xt,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23,0.23,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#20#90#20,
butterfly,20,do,mod_equal,down,N/A,150,20,20,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#20#90#20,
