Fail Action,Handwheel,Actuator Size,Max HW Thrust(Lbf),Handwheel Dia
AFO,Top Mounted,30,1500,6.75
AFO,Top Mounted,34,2250,8.75
AFO,Top Mounted,40,2250,8.75
AFO,Top Mounted,45,3390,8.75
AFO,Top Mounted,50,3390,8.75
AFO,Top Mounted,46,5100,8.75
AFO,Top Mounted,60,5100,8.75
AFO,Top Mounted,70,6600,14
AFO,Side Mounted,30,0,0
AFO,Side Mounted,34,2250,12
AFO,Side Mounted,40,2250,12
AFO,Side Mounted,45,3390,14
AFO,Side Mounted,50,3390,14
AFO,Side Mounted,46,5100,14
AFO,Side Mounted,60,5100,14
AFO,Side Mounted,70,6600,17
AFC,Top Mounted,30,1500,6.75
AFC,Top Mounted,34,2250,8.75
AFC,Top Mounted,40,2250,8.75
AFC,Top Mounted,45,4000,8.75
AFC,Top Mounted,45,6000,14
AFC,Top Mounted,50,4000,8.75
AFC,Top Mounted,50,6000,14
AFC,Top Mounted,46,4000,8.75
AFC,Top Mounted,46,6000,14
AFC,Top Mounted,60,4000,8.75
AFC,Top Mounted,60,6000,14
AFC,Top Mounted,70,6000,14
AFC,Top Mounted,70,10000,30
AFC,Top Mounted,76,4000,8.75
AFC,Top Mounted,76,6000,14
AFC,Side Mounted,30,0,0
AFC,Side Mounted,34,2250,12
AFC,Side Mounted,40,2250,12
AFC,Side Mounted,45,3390,14
AFC,Side Mounted,50,3390,14
AFC,Side Mounted,46,5100,14
AFC,Side Mounted,60,5100,14
AFC,Side Mounted,70,6600,17
AFC,Side Mounted,76,6600,17
AFO,Top Mounted,38,1710,9
AFO,Side Mounted,75,3375,9
AFO,Side Mounted,150,7650,12
AFO,Side Mounted,300,12300,15
AFC,Top Mounted,38,1710,9
AFC,Side Mounted,75,3375,9
AFC,Side Mounted,150,7650,12
AFC,Side Mounted,300,12300,15
