Port Dia,Flow Direction,Flow Charac,Trim Type,Kn
1,over,linear,none,0
1,over,equal,none,0
1,over,linear,cavitrol_3_1,0
1,over,linear,cavitrol_3_2,0.3
1,under,linear,whisper_3,0
1.3125,over,linear,none,0.3
1.3125,over,equal,none,0.5
1.3125,over,linear,cavitrol_3_1,0.5
1.3125,over,linear,cavitrol_3_2,0.3
1.3125,under,linear,whisper_3,0.7
1.875,over,linear,none,0.9
1.875,over,equal,none,0.7
1.875,over,linear,cavitrol_3_1,0.8
1.875,over,linear,cavitrol_3_2,0.5
1.875,under,linear,whisper_3,0.9
2.3125,over,linear,none,0.4
2.3125,over,equal,none,0.5
2.3125,over,linear,cavitrol_3_1,0.6
2.3125,over,linear,cavitrol_3_2,0
2.3125,under,linear,whisper_3,0.9
2.6875,over,linear,none,0
2.6875,over,equal,none,0
2.6875,over,linear,cavitrol_3_1,0
2.6875,over,linear,cavitrol_3_2,0.4
2.6875,under,linear,whisper_3,0
2.875,over,linear,none,0.4
2.875,over,equal,none,0.5
2.875,over,linear,cavitrol_3_1,0.6
2.875,over,linear,cavitrol_3_2,0.4
2.875,under,linear,whisper_3,1.3
3.4375,over,linear,none,0.8
3.4375,over,equal,none,0.4
3.4375,over,linear,cavitrol_3_1,0.8
3.4375,over,linear,cavitrol_3_2,0
3.4375,under,linear,whisper_3,0.7
4.375,over,linear,none,1.3
4.375,over,equal,none,0.3
4.375,over,linear,cavitrol_3_1,2.2
4.375,over,linear,cavitrol_3_2,0
4.375,under,linear,whisper_3,0.3
5.375,over,linear,none,0
5.375,over,equal,none,0
5.375,over,linear,cavitrol_3_1,0
5.375,over,linear,cavitrol_3_2,1.5
5.375,under,linear,whisper_3,0.3
7,over,linear,none,4.2
7,over,equal,none,1
7,over,linear,cavitrol_3_1,2.4
7,over,linear,cavitrol_3_2,2
7,under,linear,whisper_3,1.4
8,over,linear,none,2.1
8,over,equal,none,1.6
8,over,linear,cavitrol_3_1,4.4
8,over,linear,cavitrol_3_2,3.5
8,under,linear,whisper_3,0.3
