Model,Valve Size,Seat Bore,Travel,Trim Type,Flow Characteristics,Area (inch2)
EZ,1,1,0.75,contour,equal,0.71
EZ,1.5,1.5,0.75,contour,equal,1.04
EZ,2,2,1.125,contour,equal,2.636
EZ,3,3,1.5,contour,equal,5.57
EZ,4,4,2,contour,equal,9.14
EZ,1,1,0.75,contour,linear,0.71
EZ,1.5,1.5,0.75,contour,linear,1.29
EZ,2,2,1.125,contour,linear,2.634
EZ,3,2,1.125,contour,linear,2.634
EZ,3,3,1.5,contour,linear,5.54
EZ,4,4,2,contour,linear,10.05
ET,1,1.3125,0.75,ported,equal,1.12
ET,1.5,1.875,0.75,ported,equal,1.73
ET,2,2.3125,1.125,ported,equal,2.97
ET,3,3.4375,1.5,ported,equal,6.24
ET,4,4.375,2,ported,equal,10.19
ET,6,7,2,ported,equal,19.5
ET,8,8,2,ported,equal,20.9
ET,8,8,3,ported,equal,39.7
EWD,10,8,3,ported,equal,51.73
ET,12,11,5.5,ported,equal,68.6
ET,14,11,5.5,ported,equal,69.5
ET,16,14.75,8,ported,equal,151.9
ET,18,14.75,8,ported,equal,152.8
ET,20,18.25,8,ported,equal,239.7
ET,24,18.25,8,ported,equal,257.7
ET,1,1.3125,0.75,ported,linear,1.19
ET,1.5,1.875,0.75,ported,linear,2.2
ET,2,2.3125,1.125,ported,linear,3.95
ET,3,3.4375,1.5,ported,linear,8.96
ET,4,4.375,2,ported,linear,12.75
ET,6,7,2,ported,linear,28.6
ET,8,8,2,ported,linear,28.2
ET,8,8,3,ported,linear,45.1
ET,10,8,3,ported,linear,55.7
ET,12,11,5.5,ported,linear,89.7
ET,14,11,5.5,ported,linear,100.2
ET,16,14.75,8,ported,linear,189.2
ET,18,14.75,8,ported,linear,191.5
ET,20,18.25,8,ported,linear,296.9
ET,24,18.25,8,ported,linear,333.7
