Type,Fail Action,Valve Interface,Actuator size,Spring set,Torque,Set Pressure (bar),Start ,Mid,End
SYC,AFO,F07,SYC040,6,ST,N/A,86.93472173,23.9819922,25.98049155
SYC,AFO,F07,SYC040,6,AT,3.5,68.94822758,32.97523928,49.96248375
SYC,AFO,F07,SYC040,6,AT,4,83.9369727,43.9669857,72.94522628
SYC,AFO,F07,SYC040,6,AT,5,113.914463,66.94972823,118.8837
SYC,AFO,F07,SYC040,8,ST,N/A,117.9114617,33.97448895,36.97223798
SYC,AFO,F07,SYC040,8,AT,3.5,58.95573083,18.98574383,15.9879948
SYC,AFO,F07,SYC040,8,AT,4,73.94447595,30.97673993,38.97073733
SYC,AFO,F07,SYC040,8,AT,5,103.9219662,52.96023278,84.9008
SYC,AFO,F10,SYC070,6,ST,N/A,162.877697,43.9669857,46.96473473
SYC,AFO,F10,SYC070,6,AT,3.5,140.8942042,68.94822758,107.9189649
SYC,AFO,F10,SYC070,6,AT,4,170.8716944,90.93172043,152.8852003
SYC,AFO,F10,SYC070,6,AT,5,230.8266749,135.8979558,243.864
SYC,AFO,F10,SYC070,8,ST,N/A,223.8319272,60.95423018,66.94972823
SYC,AFO,F10,SYC070,8,AT,3.5,121.9084604,42.96773603,43.9669857
SYC,AFO,F10,SYC070,8,AT,4,151.8859506,65.95047855,88.93322108
SYC,AFO,F10,SYC070,8,AT,5,211.8409311,109.9174643,179.8497
SYC,AFO,F10,SYC070,10,ST,N/A,283.7869077,77.94147465,86.93472173
SYC,AFO,F10,SYC070,10,AT,3.5,0,0,0
SYC,AFO,F10,SYC070,10,AT,4,133.8994565,39.969987,25.98049155
SYC,AFO,F10,SYC070,10,AT,5,193.854437,83.9369727,115.9483
SYC,AFO,F12,SYC100,6,ST,N/A,347.7388869,92.93021978,98.92571783
SYC,AFO,F12,SYC100,6,AT,3.5,329.7523928,167.8739454,270.7966619
SYC,AFO,F12,SYC100,6,AT,4,397.7013707,217.8364292,373.7193785
SYC,AFO,F12,SYC100,6,AT,5,533.5993265,318.7606463,579.5157
SYC,AFO,F12,SYC100,8,ST,N/A,476.642095,129.9024578,140.8942042
SYC,AFO,F12,SYC100,8,AT,3.5,288.7831561,112.9152133,133.8994565
SYC,AFO,F12,SYC100,8,AT,4,357.7313837,163.8769467,236.822173
SYC,AFO,F12,SYC100,8,AT,5,493.6293395,263.8019142,443.697
SYC,AFO,F12,SYC100,10,ST,N/A,605.5453031,166.8746957,183.8619402
SYC,AFO,F12,SYC100,10,AT,3.5,0,0,0
SYC,AFO,F12,SYC100,10,AT,4,317.7613967,108.9182146,100.9242172
SYC,AFO,F12,SYC100,10,AT,5,453.6593525,209.8424318,306.7493
SYC,AFO,F14,SYC130,6,ST,N/A,659.5047855,181.8634409,200.8491847
SYC,AFO,F14,SYC130,6,AT,3.5,596.552056,303.7719012,490.6315904
SYC,AFO,F14,SYC130,6,AT,4,723.4567647,397.7013707,681.4882784
SYC,AFO,F14,SYC130,6,AT,5,976.2669325,585.5603096,1065.2115
SYC,AFO,F14,SYC130,8,ST,N/A,903.3217062,253.8094175,285.7854071
SYC,AFO,F14,SYC130,8,AT,3.5,516.612082,198.8506853,231.8259246
SYC,AFO,F14,SYC130,8,AT,4,642.517541,292.7801548,423.6818622
SYC,AFO,F14,SYC130,8,AT,5,896.3269585,480.6390937,807.3479
SYC,AFO,F14,SYC130,10,ST,N/A,1147.138627,325.7553941,370.7216294
SYC,AFO,F14,SYC130,10,AT,3.5,0,0,0
SYC,AFO,F14,SYC130,10,AT,4,562.577567,187.8589389,164.8761964
SYC,AFO,F14,SYC130,10,AT,5,816.3869845,375.7178778,548.5811
SYC,AFO,F16,SYC160,6,ST,N/A,1534.847501,402.697619,415.6878648
SYC,AFO,F16,SYC160,6,AT,3.5,1318.010321,631.5257946,961.2781874
SYC,AFO,F16,SYC160,6,AT,4,1593.803232,835.3727283,1377.965302
SYC,AFO,F16,SYC160,6,AT,5,2145.389052,1243.066596,2212.3884
SYC,AFO,F16,SYC160,8,ST,N/A,2099.423567,560.5790677,593.554307
SYC,AFO,F16,SYC160,8,AT,3.5,1150.136376,392.7051223,363.7268817
SYC,AFO,F16,SYC160,8,AT,4,1425.929286,596.552056,780.4139962
SYC,AFO,F16,SYC160,8,AT,5,1977.515107,1005.245173,1614.8087
SYC,AFO,F16,SYC160,10,ST,N/A,2663.999634,719.459766,770.4214994
SYC,AFO,F16,SYC160,10,AT,3.5,0,0,0
SYC,AFO,F16,SYC160,10,AT,4,1258.055341,358.7306333,182.8626905
SYC,AFO,F16,SYC160,10,AT,5,1810.640411,766.4245007,1017.229
SYC,AFO,F25,SYC190,6,ST,N/A,2316.260747,635.5227933,693.4792745
SYC,AFO,F25,SYC190,6,AT,3.5,2469.145947,1339.993814,2271.294511
SYC,AFO,F25,SYC190,6,AT,4,2972.767783,1711.714693,3032.722764
