Trim types,Seat bore,Class II,Class III,Class IV,Class V,Class VI
contour,0.5,20,40,40,250,40
contour,0.75,20,40,40,250,40
contour,1,20,40,40,250,40
contour,1.25,20,40,40,250,40
contour,1.5,20,40,40,250,40
contour,2.625,20,40,40,250,42
contour,3,20,40,40,250,42
cage,1.3125,20,40,40,250,40
cage,1.875,20,40,40,250,40
cage,2.25,20,40,40,250,50
cage,3.25,20,40,40,250,52
cage,4.375,20,40,80,250,50
cage,6.75,20,40,80,250,50
cage,8,20,40,80,250,50
cage,11,20,40,80,250,50
cage,13.25,20,40,80,250,50
cage,15.25,20,40,80,250,50
cage,17.25,20,40,80,250,50
cage,19.25,20,40,80,250,50
cage,21.25,20,40,80,250,50
