Trim types,Seat bore,Class II,Class III,Class IV,Class V,Class VI
microspline,0.1875,20,40,40,250,40
microspline,0.25,20,40,40,250,40
contour,0.375,20,40,40,250,40
contour,0.5,20,40,40,250,40
contour,0.75,20,40,40,250,40
contour,1,20,40,40,250,40
contour,1.25,20,40,40,250,40
contour,1.5,20,40,40,250,50
contour,2,20,40,40,250,50
contour,3,20,40,40,250,50
contour,4,20,40,40,250,50
cage,0.75,20,40,40,250,40
cage,1,20,40,40,250,40
cage,1.3125,20,40,40,250,50
cage,1.313,20,40,40,250,50
cage,1.875,20,40,40,250,50
cage,1.93,20,40,40,250,50
cage,2.3125,20,40,40,250,50
cage,2.313,20,40,40,250,50
cage,2.875,20,40,40,250,50
cage,3.4375,20,40,40,250,50
cage,3.438,20,40,40,250,50
cage,4.375,20,40,80,250,50
cage,5.375,20,40,80,250,50
cage,7,20,40,80,250,50
cage,8,20,40,80,250,50
cage,10,20,40,80,250,50
cage,11,20,40,80,250,50
cage,14.75,20,40,80,250,50
cage,16.25,20,40,80,250,50
cage,18.25,20,40,80,250,50
cage,19.75,20,40,80,250,50
cage,24,20,40,80,250,50
cage,26,20,40,80,250,50
