Pressure Rating,Valve Size,Shaft Dia,Flange Type
#150,3,0.625,F05
#150,4,0.750,F07
#150,6,0.75,F07
#150,8,1.000,F10
#150,10,1.000,F12
#150,12,1.250,F14
#150,14,1.500,F14
#150,16,1.500,F16
#150,18,1.750,F16
#150,20,2.000,F25
#150,24,2.250,F25
#150,30,3.000,F30
#150,36,3.500,F35
#300,3,0.625,F07
#300,4,0.75,F07
#300,6,1.000,F10
#300,8,1.250,F12
#300,10,1.250,F14
#300,12,1.500,F16
#300,14,2.000,F16
#300,16,2.000,F25
#300,18,2.250,F25
#300,20,2.750,F30
#300,24,3.000,F30
#300,30,3.500,F35
#600,3,0.625,F10
#600,4,0.75,F10
#600,6,1.000,F12
#600,8,1.250,F14
#600,10,1.750,F16
#600,12,2.000,F25
#600,14,2.250,F25
#600,16,2.500,F30
#600,18,2.500,F30
#600,20,2.750,F35
#600,24,3.250,F35
#600,30,3.500,F40
